"#","Solution","W","T","P0","P1","P2","P3","P4","P5","P6","v1","v2","v3"
"104","C-0_0_0_1_0_4_3_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.10","0.05","14","0.9","27","13","11262.3","660.5","4363.63"
"105","C-0_0_0_1_0_4_3_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.10","0.05","14","0.9","27","28","12130.68","569.0","4649.67"
"106","C-0_0_1_2_0_2_1_3_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.15","0.05","8","0.7","28","28","10839.3","471.5","3725.12"
"107","C-0_0_2_1_1_2_3_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.10","0.08","8","0.9","27","28","8888.82","169.0","3121.87"
"108","C-0_0_0_1_0_4_3_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.10","0.05","14","0.9","27","23","11575.69","644.5","4458.91"
"109","C-0_0_2_2_0_4_0_0_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.15","0.05","14","0.6","25","18","10094.27","288.5","3817.48"
"110","C-0_0_1_2_0_2_1_3_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.15","0.05","8","0.7","28","13","10538.25","559.5","3629.44"
"111","C-0_0_2_2_0_4_0_0_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.15","0.05","14","0.6","25","13","10093.52","288.5","3817.24"
"112","C-0_0_4_2_1_2_0_0_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.15","0.08","8","0.6","25","13","7443.01","71.0","2578.85"
"113","C-0_0_2_2_1_1_2_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.15","0.08","5","0.8","27","28","8967.8","224.5","2910.0"
"114","C-0_0_2_2_1_1_2_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.15","0.08","5","0.8","27","23","8618.08","374.0","2802.72"
"115","C-0_0_2_2_1_1_2_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.15","0.08","5","0.8","27","18","8436.81","388.5","2749.71"
"116","C-0_0_2_2_1_1_2_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","24","0.15","0.08","5","0.8","27","13","8435.31","388.5","2749.26"
"117","C-0_0_1_3_0_1_0_3_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.20","0.05","5","0.6","28","23","10792.02","573.5","3470.02"
"118","C-0_0_0_2_0_3_2_2_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.15","0.05","11","0.8","27","23","11705.58","666.0","4266.26"
"119","C-0_0_0_2_0_3_2_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.15","0.05","11","0.8","27","18","11533.79","687.0","4212.88"
"120","C-0_0_1_3_0_1_0_3_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.20","0.05","5","0.6","28","28","10962.72","522.0","3522.68"
"121","C-0_0_0_2_0_3_2_2_3","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.15","0.05","11","0.8","27","28","12093.86","603.0","4396.72"
"122","C-0_0_1_3_0_1_0_3_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.20","0.05","5","0.6","28","13","10816.37","595.5","3475.63"
"123","C-0_0_0_2_0_3_2_2_0","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","22","0.15","0.05","11","0.8","27","13","11532.14","687.0","4212.3"
"124","C-0_0_1_3_0_1_0_3_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","23","0.20","0.05","5","0.6","28","18","10817.18","595.5","3475.89"
"125","C-0_0_3_2_2_0_3_1_2","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.15","0.11","2","0.9","26","23","7361.69","157.0","2212.53"
"126","C-0_0_3_2_2_0_3_1_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","25","0.15","0.11","2","0.9","26","18","7004.58","146.0","2099.93"
"127","C-0_0_4_0_0_1_1_2_1","KWT_KUWAIT INTL AIRPORT_KISR.epw","KUWAIT AHU VAV5 HR DB.idf","26","0.05","0.05","5","0.7","27","18","7660.98","96.5","2507.47"
